auditee_uei,Count,CountDistinct_audit_year,Right_CountDistinct_audit_year,CountDistinct_report_id,First_auditee_city,First_auditee_ein,First_auditee_name,First_auditee_state,First_auditee_zip,First_cognizant_agency,First_entity_type,Max_audit_year,Right_Max_audit_year,Right_Min_audit_year,Min_audit_year,Sum_going_concern_num,Sum_internal_control_def_num,Sum_low_risk_num,Sum_material_weakness_gen_num,Sum_material_weakness_number,Sum_modified_opinion_number,Sum_noncompliance_num,Sum_prior_findings_num,Sum_questioned_costs_number,Sum_repeat_finding_number,Sum_significant_deficiency_number,Sum_total_amount_expended_num,is_problem_entity,risk_score
SYCSGE2J15S1,4,4,1,4,DANVILLE,376002207,CITY OF DANVILLE,IL,61832,,local,2025,2023,2023,2022,0,0,0,0,0,0,0,0,0,0,4,29944269,1,40
XK9LGMJF69B4,1,3,1,3,Salina,237265172,"Martin Luther King, Jr. Child Care Center Association, Inc.",KS,67401,,non-profit,2024,2024,2024,2022,0,0,0,0,1,0,0,0,0,0,0,3675351,0,10
QMG4ZGXNWTM8,2,2,1,2,Oxford,646000561,Lafayette County School District,MS,38655,,local,2023,2022,2022,2022,0,0,0,0,0,0,0,0,0,0,2,10735151,0,20
CZ65TENQWXC3,50,2,2,2,ST. PAUL,410901311,SAINT PAUL PUBLIC SCHOOLS,MN,55102,84,non-profit,2023,2023,2022,2022,0,0,0,0,37,36,0,0,9,16,13,354752127,1,500
QM8TH6M7JX85,1,1,1,1,LANCASTER,231631733,FULTON THEATRE COMPANY,PA,17603,,non-profit,2022,2022,2022,2022,0,0,0,0,1,0,0,0,0,0,0,4163018,0,10
YPF5K5M36H67,2,3,2,3,LIMA,341284969,LIMA INTERFAITH SENIOR HOUSING CORPORATION,OH,45804,,non-profit,2024,2023,2022,2022,0,0,0,0,1,2,0,0,1,1,1,5216704,0,20
WKJ8M52KPL87,2,1,1,1,BRAINTREE,043300758,NATE SMITH HOUSING CORPORATION,MA,02184,,non-profit,2022,2022,2022,2022,0,0,0,0,0,2,0,0,0,0,2,4309692,0,20
V6NHKJSWHGN3,6,3,2,3,TAOS,850289839,"TAOS Health Systems, Inc.",NM,87571,,non-profit,2024,2024,2022,2022,0,0,0,0,1,0,0,0,1,4,5,10924206,1,60
NC8DNJQBJH55,2,1,1,1,Chicago,473699058,Family Legacy Foundation,IL,60649,,non-profit,2023,2023,2023,2023,0,0,0,0,2,0,0,0,0,0,0,962240,0,20
R6JMXRPDGA74,7,1,1,1,Albuquerque,850106943,Boys & Girls Club of Central New Mexico,NM,87125,,non-profit,2022,2022,2022,2022,0,0,0,0,0,0,0,0,0,1,0,1128483,1,70
G7P6E4A3NDJ9,3,1,1,1,Cary,581461316,"Foundation For Health Leadership and Innovation, Inc.",NC,27513,,non-profit,2023,2023,2023,2023,0,0,0,0,0,0,0,0,0,0,2,2146230,1,30
