uei,years_audited,audit_reports_count,city,ein,entity_name,state,zip,cognizant_agency,entity_type,latest_audit_year,earliest_audit_year,going_concern_count,internal_control_def_count,low_risk_count,material_weakness_gen_count,material_weakness_count,modified_opinion_count,noncompliance_count,prior_findings_count,questioned_costs_count,repeat_finding_count,significant_deficiency_count,total_expenditures,is_problem_entity,risk_score,recipient_name,recipient_state,recipient_city,total_funding,total_obligated,total_awards,program_count,funding_num
FXV5JB3EPZ99,3,3,BOSTON,046002284,COMMONWEALTH OF MASSACHUSETTS,MA,021081518,93,state,2024,2022,0,0,0,0,75,75,0,0,27,109,156,91645559555,1,2330,THE COMMONWEALTH OF MASSACHUSETTS,MA,BOSTON,100295393265.1,74277638710,3060,26,100295393265.1
K49NN52HU4L7,3,3,Santa Fe,856000570,New Mexico Human Services Department,NM,87505,93,state,2024,2022,0,0,0,0,0,0,0,0,0,12,23,27595986010,1,230,DEPARTMENT OF HUMAN SERVICES NEW MEXICO,NM,SANTA FE,46123967280.43,35944776941,517,31,46123967280.43
HEJDFU1K4E22,3,3,San Juan,660735092,Puerto Rico Public Private Partnerships Authority,PR,00912,97,local,2022,2020,0,0,0,0,0,5,0,0,4,16,16,1988152043,1,220,"GOVERNOR'S AUTHORIZED REPRESENTATIVE",PR,SAN JUAN,33544555978.59,206139309559.14,225,7,33544555978.59
NXGWYMXLNW95,3,3,NEW YORK,132552035,METROPOLITAN TRANSPORTATION AUTHORITY,NY,10004,20,state,2024,2022,0,0,0,0,0,0,0,0,4,0,5,18892531827,1,70,METROPOLITAN TRANSPORTATION AUTHORITY,NY,NEW YORK,31854119692.25,23800143957.04,188,13,31854119692.25
M22USH2CHRG1,3,3,WASHINGTON,520910053,NATIONAL RAILROAD PASSENGER CORPORATION,DC,20001,20,non-profit,2024,2022,0,0,0,0,0,0,0,0,3,5,12,12733846770,1,120,NATIONAL RAILROAD PASSENGER CORPORATION,DC,WASHINGTON,30158706415.59,43000307840,93,6,30158706415.59
RN15SP9CPJE6,3,3,Sacramento,680284175,State of California,CA,95814,17,state,2023,2021,0,0,0,0,62,56,0,0,30,47,23,569884311991,1,850,STATE OF CALIFORNIA DEPARTMENT OF FINANCE,CA,SACRAMENTO,28347709410.6,27557266769.1,4,2,28347709410.6
DKBAJQ45GQS8,3,3,ALBANY,146013200,STATE OF NEW YORK,NY,12224,93,state,2024,2022,0,0,0,0,30,26,0,0,11,32,45,357040580623,1,750,STATE OF NEW YORK,NY,ALBANY,22170293661.37,19603682859.03,34,4,22170293661.37
NMLEHM4JTN15,3,6,SAN JUAN,660828059,PUERTO RICO SAFE DRINKING WATER TREATMENT REVOLVING LOAN FUND,PR,00926,,state,2024,2022,0,0,0,0,64,0,0,0,0,77,43,11442113867,1,1090,PUERTO RICO DEPARTMENT OF HEALTH,PR,SAN JUAN,21842779053.28,17607423612,621,55,21842779053.28
UEHJK3XLHM58,3,3,NEW YORK,136400571,NEW YORK CITY HOUSING AUTHORITY,NY,100079998,14,local,2024,2022,0,0,0,0,3,3,0,0,11,5,3,12307501727,1,140,NEW YORK CITY HOUSING AUTHORITY,NY,NEW YORK,20050522499.63,3938616063,3308,9,20050522499.63
FFNMUBT6WCM1,3,3,SAN JUAN,660558579,DEPARTMENT OF HOUSING OF THE COMMONWEALTH OF PUERTO RICO,PR,009281365,97,local,2024,2022,0,0,0,0,4,4,0,0,0,8,6,3096298709,1,100,"HOUSING, PR DEPARTMENT OF",PR,SAN JUAN,19115229922.74,20416607629,29,2,19115229922.74
LR3CBBHMAXM5,3,3,Tallahassee,596001874,State of Florida,FL,32399,93,state,2024,2022,0,0,0,0,1150,1150,0,0,916,3457,3958,175429876174,1,53050,STATE OF FLORIDA DEPARTMENT OF FINANCIAL SERVICES,FL,TALLAHASSEE,18744110901.62,30614896557.6,36,6,18744110901.62
F5SRLH4ZQGM4,3,3,HONOLULU,996001089,DEPARTMENT OF HUMAN SERVICES,HI,96813,93,state,2024,2022,0,0,0,0,65,65,0,0,56,81,27,10620299674,1,920,DEPARTMENT OF HUMAN SERVICES HAWAII,HI,HONOLULU,18141319031.53,11478995901,623,36,18141319031.53
QLXXU1SV4MM8,1,1,RALEIGH,561611588,STATE OF NORTH CAROLINA,NC,276090600,93,state,2022,2022,0,0,0,0,10,10,0,0,8,6,17,38236389334,1,270,GOVERNORS OFFICE,NC,RALEIGH,11608694014.57,11729120483.73,32,5,11608694014.57
PHM7QMAK51R4,2,3,Columbus,311334820,State of Ohio,OH,43215,93,state,2024,2023,0,0,0,0,196,98,0,0,17,125,12,134174156379,1,2150,EXECUTIVE OFFICE STATE OF OHIO,OH,COLUMBUS,11396200524.41,18617612981.15,24,4,11396200524.41
KUHBF2X2EGN3,3,3,SAN JUAN,660433481,PUERTO RICO DEPARTMENT OF EDUCATION,PR,00919,66,local,2024,2022,0,0,0,0,206,202,0,0,50,164,0,6527367653,1,2060,DEPARTMENT OF EDUCATION OF PUERTO RICO,PR,SAN JUAN,10236703741.42,7659356638.14,331,29,10236703741.42
LK34C47QFQC5,3,4,Indianapolis,356000158,State of Indiana,IN,46204,93,state,2024,2022,0,0,0,0,229,98,0,0,26,171,34,91867891803,1,2630,STATE OF INDIANA,IN,INDIANAPOLIS,7835775953.39,6812461499.6,47,6,7835775953.39
EQL7FFLJRC99,3,3,MADISON,396028867,STATE OF WISCONSIN,WI,537033405,93,state,2024,2022,0,0,0,0,22,20,0,0,1736,13,3459,58508358324,1,51400,STATE OF WISCONSIN DEPT OF ADMIN,WI,MADISON,6421747477.34,8943463058.26,219,23,6421747477.34
D3LYFCJXMRS5,3,3,BATON ROUGE,726000720,STATE OF LOUISIANA,LA,70802,93,state,2024,2022,0,0,0,0,141,135,0,0,99,253,187,82317734942,1,3590,"ADMINISTRATION, LOUISIANA DIVISION OF",LA,BATON ROUGE,6314455536.58,5283952787,44,8,6314455536.58
SJY2L8VHUGS4,1,1,DENVER,840644739,STATE OF COLORADO,CO,80203,93,state,2022,2022,0,0,0,0,286,286,0,0,255,228,915,21456060692,1,12010,COLORADO DEPARTMENT OF PERSONNEL & ADMINISTRATION,CO,DENVER,6279477475.75,5658241093.14,32,3,6279477475.75
LQ73XVCA7YZ7,2,2,CHICAGO,366000618,Chicago Housing Authority,IL,60605,14,local,2024,2023,0,0,0,0,10,0,0,0,1,6,0,2226034597,1,100,CHICAGO HOUSING AUTHORITY,IL,CHICAGO,6060370845.27,1385100838,963,9,6060370845.27
K3LWE6J8CUE6,3,3,JEFFERSON CIY,446000987,STATE OF MISSOURI,MO,651011517,93,state,2024,2022,0,0,0,0,29,16,0,0,18,82,82,60325380857,1,1250,STATE OF MISSOURI,MO,JEFFERSON CITY,5953289953.41,4772613567.25,18,4,5953289953.41
GNJ7BBP73WE9,3,3,ANN ARBOR,386006309,REGENTS OF THE UNIVERSITY OF MICHIGAN,MI,481091287,93,higher-ed,2024,2022,0,0,0,0,0,0,0,0,1,0,0,5040690978,1,80,REGENTS OF THE UNIVERSITY OF MICHIGAN,MI,ANN ARBOR,5912376086.73,2585002128,16018,156,5912376086.73
VK2DNC86A4Q2,3,3,FRANKFORT,610600439,COMMONWEALTH OF KENTUCKY,KY,40602,93,state,2024,2022,0,0,0,0,26,26,0,0,16,64,92,65184151421,1,1180,COMMONWEALTH OF KENTUCKY,KY,FRANKFORT,5761580896.66,8504886440.58,49,6,5761580896.66
KEBVZNK93W87,2,2,Window Rock,860092335,The Navajo Nation,AZ,86515,15,tribal,2024,2023,0,0,0,0,516,394,0,0,267,241,234,1339869770,1,7500,NAVAJO NATION TRIBAL GOVERNMENT,AZ,WINDOW ROCK,5565215902.82,4947402742.1,1109,97,5565215902.82
PA32TLEZLKH7,3,3,PIERRE,466000364,STATE OF SOUTH DAKOTA,SD,575015070,93,state,2024,2022,0,0,0,0,8,0,0,0,3,4,9,9305880739,1,180,STATE OF SOUTH DAKOTA,SD,PIERRE,5136949897.78,1831706793.77,4504,10,5136949897.78
PYK7WKBV8DJ5,3,3,ST PAUL,416007162,STATE OF MINNESOTA,MN,551551603,93,state,2024,2022,0,0,0,0,60,60,0,0,45,110,260,65619788630,1,3200,STATE OF MINNESOTA - MINNESOTA MANAGEMENT AND BUDGET,MN,SAINT PAUL,5127526647.97,4862931392,18,4,5127526647.97
X5QGNEC5ASH4,3,4,SALEM,931070707,STATE OF OREGON,OR,973013969,93,state,2024,2022,0,0,0,0,55,49,0,0,74,49,186,82564373529,1,2490,ADMINISTRATIVE SERVICES OREGON DEPARTMENT,OR,SALEM,4719640948.2,5563375511.97,24,4,4719640948.2
J5DHQHSHTJE7,2,2,HAGATNA,980018947,GOVERNMENT OF GUAM,GU,96932,93,state,2023,2022,0,0,0,0,48,48,0,0,49,42,41,1437967769,1,890,GOVERNMENT OF GUAM- DEPARTMENT OF ADMINISTRATION,GU,BARRIGADA,4705641616.18,5228729950,1842,106,4705641616.18
